STD_ZIP5,LATITUDE,LONGITUDE
54875,45.946313539,-91.69061568
54876,45.8394949,-91.49444355
54880,46.694515851,-92.09152706
54888,45.956418939,-91.86981278
54889,45.408894846,-92.15400425
54891,46.679318709,-90.92499304
54893,45.872985608,-92.30322033
54895,45.397900271,-91.43493099
54896,45.859814901,-90.95082849
54901,44.037426722,-88.53644948
54902,44.001336624,-88.55466098
54904,44.024261422,-88.60507502
54909,44.288696902,-89.36060815
54911,44.27822975,-88.39721633
54913,44.315925679,-88.41023531
54914,44.269809733,-88.44214633
54915,44.244597083,-88.37162103
54921,44.311283101,-89.52811108
54922,44.53464976,-88.75374892
54923,43.978914947,-88.95028779
54928,44.727408148,-88.88745633
54929,44.635377389,-88.74289907
54930,44.026893892,-89.52853502
54932,43.82155418,-88.61316992
54935,43.773897255,-88.44098195
54937,43.788243328,-88.44610532
54940,44.239615265,-88.83603154
54941,43.842012796,-88.96813163
54942,44.300159909,-88.53364348
54943,44.12122252,-89.56108233
54944,44.32608817,-88.62385569
54945,44.540631791,-89.13459198
54947,44.193652835,-88.68227708
54948,44.789647475,-88.87980793
54949,44.471714972,-88.91913761
54950,44.671652901,-88.88615086
54952,44.215084189,-88.41862691
54956,44.182083349,-88.48453971
54960,43.964897179,-89.21858352
54961,44.390699883,-88.75972212
54962,44.478194729,-89.02665229
54963,44.037702872,-88.74651369
54964,43.918140356,-88.71120384
54965,44.16003816,-89.04430192
54966,44.214047905,-89.49419123
54967,44.126514969,-88.97596005
54968,43.840493329,-89.13087818
54970,44.061970033,-89.10108889
54971,43.846919917,-88.84124964
54974,43.799411271,-88.66953826
54977,44.460477202,-89.16000275
54978,44.803252364,-88.90086555
54979,43.873797135,-88.52498516
54981,44.337305015,-89.12049591
54982,44.070389028,-89.2761245
54983,44.320556166,-88.93371752
54984,44.180667129,-89.19804686
54986,44.118745631,-88.72774685
