ObjectID,STD_ZIP5,LATITUDE,LONGITUDE,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,x,y
28048,95628,38.655529057,-121.2614558,FAIR OAKS,CA,-121.2614558,38.6555290570001
28049,95629,38.506439287,-120.7023896,FIDDLETOWN,CA,-120.7023896,38.506439287
28050,95630,38.672171651,-121.1477968,FOLSOM,CA,-121.1477968,38.672171651
28051,95631,38.996177366,-120.876806,FORESTHILL,CA,-120.876806,38.996177366
28052,95632,38.266448956,-121.2990678,GALT,CA,-121.2990678,38.266448956
28053,95633,38.842925695,-120.8451554,GARDEN VALLEY,CA,-120.8451554,38.8429256950001
28054,95634,38.919291017,-120.795499,GEORGETOWN,CA,-120.795499,38.919291017
28055,95635,38.915868468,-120.9012911,GREENWOOD,CA,-120.9012911,38.915868468
28056,95636,38.630489094,-120.5379179,GRIZZLY FLATS,CA,-120.5379179,38.630489094
28057,95637,38.865704077,-122.2198278,GUINDA,CA,-122.2198278,38.865704077
28058,95638,38.307575671,-121.1811169,HERALD,CA,-121.1811169,38.3075756710001
28059,95640,38.321772192,-120.9446119,IONE,CA,-120.9446119,38.321772192
28060,95641,38.142314855,-121.6019098,ISLETON,CA,-121.6019098,38.1423148550001
28061,95642,38.357885962,-120.7522718,JACKSON,CA,-120.7522718,38.3578859620001
28062,95645,38.855922966,-121.7270437,KNIGHTS LANDING,CA,-121.7270437,38.855922966
28063,95648,38.879837308,-121.2888871,LINCOLN,CA,-121.2888871,38.879837308
28064,95650,38.815618386,-121.1722802,LOOMIS,CA,-121.1722802,38.815618386
28065,95651,38.807491497,-120.9283185,LOTUS,CA,-120.9283185,38.8074914970001
28066,95652,38.670259907,-121.388751,MCCLELLAN,CA,-121.388751,38.6702599070001
28067,95655,38.54891887,-121.2821528,MATHER,CA,-121.2821528,38.5489188700001
28068,95658,38.873431178,-121.1443612,NEWCASTLE,CA,-121.1443612,38.873431178
28069,95659,38.879550935,-121.5606161,NICOLAUS,CA,-121.5606161,38.8795509350001
28070,95660,38.678617065,-121.3743589,NORTH HIGHLANDS,CA,-121.3743589,38.678617065
28071,95661,38.738998876,-121.2505377,ROSEVILLE,CA,-121.2505377,38.738998876
28072,95662,38.682158484,-121.2235092,ORANGEVALE,CA,-121.2235092,38.6821584840001
28073,95663,38.851555527,-121.1767423,PENRYN,CA,-121.1767423,38.8515555270001
28074,95664,38.819242438,-121.0264764,PILOT HILL,CA,-121.0264764,38.8192424380001
28075,95665,38.402820044,-120.6541349,PINE GROVE,CA,-120.6541349,38.4028200440001
28076,95666,38.457044191,-120.5433581,PIONEER,CA,-120.5433581,38.4570441910001
